affile,score,hom,prob
AF-A0A5K4EX76-F1-model_v4,0.68,16,0.001
AF-A0A5K4F4C0-F1-model_v4,5.04,17,0.189
AF-A0A3Q0KNS1-F1-model_v4,8.71,17,0.398
AF-A0A3Q0KG42-F1-model_v4,0.7,17,0.001
AF-A0A5K4F4Z7-F1-model_v4,4.11,17,0.136
AF-A0A5K4EPZ4-F1-model_v4,2.6,17,0.061
AF-A0A5K4FG55-F1-model_v4,0.95,17,0.004
AF-A0A3Q0KQX7-F1-model_v4,12.09,17,0.552
AF-A0A5K4EQJ2-F1-model_v4,0.75,17,0.002
AF-A0A3Q0KIF0-F1-model_v4,1.9,17,0.032
AF-G4V9B6-F1-model_v4,14.01,17,0.623
AF-Q86D79-F1-model_v4,6.84,17,0.295
AF-G4VEP3-F1-model_v4,1.45,17,0.016
AF-G4VID1-F1-model_v4,2.47,17,0.055
AF-A0A5K4F8N8-F1-model_v4,1.49,17,0.017
AF-A0A5K4F0Z7-F1-model_v4,9.36,17,0.43
AF-A0A3Q0KJT5-F1-model_v4,0.98,17,0.005
AF-A0A5K4F7P1-F1-model_v4,1.84,17,0.03
AF-A0A5K4F4T7-F1-model_v4,1.08,17,0.006
AF-A0A3Q0KH05-F1-model_v4,11.89,17,0.545
AF-A0A3Q0KM91-F1-model_v4,1.42,17,0.015
AF-G4LVT3-F1-model_v4,2.21,17,0.044
AF-A0A5K4F333-F1-model_v4,1.2,17,0.009
AF-A0A3Q0KDR0-F1-model_v4,15.47,17,0.674
AF-A0A3Q0KPA5-F1-model_v4,1.01,17,0.005
AF-A0A5K4F5W6-F1-model_v4,2.32,18,0.049
AF-A0A3Q0KM69-F1-model_v4,0.66,18,0.001
AF-A0A3Q0KE31-F1-model_v4,2.18,18,0.043
AF-A0A5K4FB62-F1-model_v4,7.47,18,0.33
AF-G4VLP3-F1-model_v4,17.76,18,0.735
AF-Q26591-F1-model_v4,1.03,18,0.006
AF-A0A5K4F9Y1-F1-model_v4,1.08,18,0.006
AF-A0A5K4F9P6-F1-model_v4,1.32,18,0.012
AF-A0A5K4F7A2-F1-model_v4,13.39,18,0.601
AF-A0A3Q0KQD2-F1-model_v4,2.44,18,0.054
AF-A0A3Q0KL21-F1-model_v4,0.95,18,0.004
AF-A0A5K4FB90-F1-model_v4,1.19,18,0.009
AF-G4VJC1-F1-model_v4,2.74,18,0.067
AF-G4VHT8-F1-model_v4,3.49,18,0.102
AF-A0A5K4F740-F1-model_v4,1.43,18,0.015
AF-A0A5K4FBI4-F1-model_v4,1.63,18,0.022
AF-A0A5K4ESM2-F1-model_v4,8.02,18,0.36
AF-C4QQL6-F1-model_v4,1.21,18,0.01
AF-A0A3Q0KV09-F1-model_v4,24.05,18,0.849
AF-A0A3Q0KLR1-F1-model_v4,20.05,18,0.787
AF-A0A5K4EUL8-F1-model_v4,9.06,18,0.416
AF-A0A5K4F4S2-F1-model_v4,3.98,18,0.128
AF-A0A5K4F5T3-F1-model_v4,0.74,18,0.002
AF-A0A5K4F3T5-F1-model_v4,2.56,18,0.059
AF-A0A5K4EY66-F1-model_v4,19.04,18,0.766
AF-A0A3Q0KUV7-F1-model_v4,6.35,19,0.266
AF-A0A5K4EYI4-F1-model_v4,0.79,19,0.002
AF-A0A5K4F4Y3-F1-model_v4,1.55,19,0.019
AF-A0A5K4F2K5-F1-model_v4,16.79,19,0.71
AF-A0A5K4ERG6-F1-model_v4,17.2,19,0.72
AF-A0A3Q0KQY8-F1-model_v4,4.23,19,0.142
AF-A0A5K4EMA8-F1-model_v4,14.12,19,0.627
AF-A0A5K4F4M3-F1-model_v4,1.39,19,0.014
AF-A0A5K4F8J5-F1-model_v4,1.39,19,0.014
AF-G4LV60-F1-model_v4,1.99,19,0.035
AF-A0A5K4F355-F1-model_v4,2.23,19,0.045
AF-A0A5K4E9U7-F1-model_v4,1.38,19,0.014
AF-A0A5K4F654-F1-model_v4,0.97,19,0.005
AF-A0A3Q0KU74-F1-model_v4,1.52,19,0.018
AF-A0A5K4FFM7-F1-model_v4,14.38,19,0.636
AF-A0A5K4ETU0-F1-model_v4,2.85,19,0.072
AF-A0A3Q0KRP1-F1-model_v4,1.44,19,0.016
AF-G4V7X3-F1-model_v4,2.09,19,0.039
AF-A0A3Q0KTC2-F1-model_v4,13.96,19,0.622
AF-G4V864-F1-model_v4,3.64,19,0.11
AF-G4VT82-F1-model_v4,2.21,19,0.044
AF-A0A5K4EU45-F1-model_v4,4.49,19,0.158
AF-A0A5K4F5R6-F1-model_v4,5.95,19,0.242
AF-A0A5K4EXH5-F1-model_v4,2.77,19,0.068
AF-A0A5K4F637-F1-model_v4,1.19,19,0.009
AF-A0A3Q0KFW8-F1-model_v4,1.83,19,0.029
AF-A0A5K4F9B8-F1-model_v4,3.15,19,0.085
AF-A0A3Q0KM19-F1-model_v4,1.26,19,0.011
AF-G4VF96-F1-model_v4,7.53,19,0.333
AF-A0A5K4EQI4-F1-model_v4,1.29,19,0.012
AF-A0A5K4EVU4-F1-model_v4,9.86,19,0.456
AF-G4V5A1-F1-model_v4,7.63,19,0.338
AF-A0A5K4F8B0-F1-model_v4,3.46,19,0.1
AF-A0A5K4F491-F1-model_v4,12.99,19,0.588
AF-A0A5K4F6Z3-F1-model_v4,5.32,19,0.206
AF-G4M225-F1-model_v4,5.24,19,0.201
AF-A0A3Q0KQ41-F1-model_v4,8.03,20,0.361
AF-A0A5K4F4G2-F1-model_v4,5.31,20,0.205
AF-A0A3Q0KJZ4-F1-model_v4,5.14,20,0.195
AF-G4M0D3-F1-model_v4,3.68,20,0.112
AF-A0A5K4EG01-F1-model_v4,2.32,20,0.048
AF-A0A3Q0KHG9-F1-model_v4,3.35,20,0.094
AF-A0A5K4FAS6-F1-model_v4,7.47,20,0.33
AF-A0A3Q0KHK1-F1-model_v4,1.01,20,0.005
AF-A0A3Q0KMH8-F1-model_v4,6.14,20,0.253
AF-G4VGA1-F1-model_v4,2.05,20,0.038
AF-A0A5K4FC30-F1-model_v4,2.16,20,0.042
AF-A0A5K4F4N3-F1-model_v4,4.54,20,0.16
AF-A0A5K4F5C7-F1-model_v4,8.15,20,0.367
AF-A0A3Q0KJV0-F1-model_v4,9.55,20,0.441
AF-A0A5K4EGL9-F1-model_v4,6.18,20,0.256
AF-A0A5K4E9M7-F1-model_v4,7.07,20,0.307
AF-A0A5K4EXG3-F1-model_v4,1.95,20,0.034
AF-G4VCD9-F1-model_v4,2.86,20,0.072
AF-A0A5K4F4A6-F1-model_v4,3.17,20,0.086
AF-G4VIY0-F1-model_v4,2.66,20,0.064
AF-A0A5K4EP27-F1-model_v4,2.52,20,0.057
AF-A0A3Q0KKZ6-F1-model_v4,10.84,20,0.5
AF-A0A5K4FDV7-F1-model_v4,2.24,20,0.045
AF-A0A5K4EWH9-F1-model_v4,2.0,20,0.036
AF-A0A5K4F6X7-F1-model_v4,2.07,20,0.038
AF-G4VSA8-F1-model_v4,1.49,20,0.017
AF-A0A5K4EM47-F1-model_v4,3.14,20,0.085
AF-A0A5K4F2P4-F1-model_v4,1.79,20,0.028
AF-G4VAI7-F1-model_v4,2.37,20,0.051
AF-A0A5K4FFV5-F1-model_v4,0.95,20,0.004
AF-A0A5K4FAJ5-F1-model_v4,1.5,20,0.018
AF-A0A3Q0KDG5-F1-model_v4,12.51,20,0.569
AF-G4VAT6-F1-model_v4,9.31,20,0.428
AF-A0A5K4F788-F1-model_v4,1.55,20,0.019
AF-A0A5K4FD44-F1-model_v4,1.24,21,0.01
AF-A0A3Q0KLR6-F1-model_v4,2.85,21,0.072
AF-A0A3Q0KMX5-F1-model_v4,12.39,21,0.564
AF-A0A5K4EAL4-F1-model_v4,5.06,21,0.19
AF-A0A5K4FE97-F1-model_v4,3.66,21,0.111
AF-A0A5K4E9G8-F1-model_v4,6.05,21,0.248
AF-A0A5K4F6D8-F1-model_v4,5.42,21,0.212
AF-A0A5K4F563-F1-model_v4,1.9,21,0.032
AF-A0A3Q0KQ93-F1-model_v4,9.3,21,0.427
AF-A0A5K4FCG3-F1-model_v4,6.54,21,0.278
AF-A0A3Q0KEQ0-F1-model_v4,2.63,21,0.062
AF-A0A5K4F7X0-F1-model_v4,8.72,21,0.399
AF-A0A3Q0KE85-F1-model_v4,4.08,21,0.134
AF-A0A3Q0KN08-F1-model_v4,10.14,21,0.469
AF-A0A5K4FDJ9-F1-model_v4,4.03,21,0.131
AF-A0A5K4FAP9-F1-model_v4,5.84,21,0.236
AF-G4V9G8-F1-model_v4,1.56,21,0.019
AF-G4VG37-F1-model_v4,1.14,21,0.008
AF-A0A5K4FC94-F1-model_v4,1.88,21,0.031
AF-G4V5V4-F1-model_v4,5.59,21,0.222
AF-G4VM09-F1-model_v4,1.56,21,0.02
AF-A0A5K4ESJ6-F1-model_v4,1.96,21,0.034
AF-A0A5K4FF27-F1-model_v4,4.44,21,0.155
AF-A0A5K4EL89-F1-model_v4,1.1,21,0.007
AF-A0A5K4F3Q0-F1-model_v4,8.92,21,0.41
AF-G4VF85-F1-model_v4,6.72,21,0.288
AF-A0A5K4EXJ1-F1-model_v4,1.42,21,0.015
AF-A0A5K4EZK4-F1-model_v4,1.42,21,0.015
AF-A0A5K4F8Y5-F1-model_v4,10.31,21,0.478
AF-A0A3Q0KM92-F1-model_v4,7.36,21,0.324
AF-A0A3Q0KHA4-F1-model_v4,7.75,21,0.345
AF-A0A5K4F4T5-F1-model_v4,3.03,21,0.08
AF-G4VE31-F1-model_v4,2.57,21,0.059
AF-A0A5K4FDQ7-F1-model_v4,3.68,21,0.112
AF-A0A5K4FA51-F1-model_v4,2.35,21,0.05
AF-A0A5K4ENZ3-F1-model_v4,1.75,21,0.026
AF-A0A3Q0KH16-F1-model_v4,5.31,21,0.205
AF-A0A5K4F8Y0-F1-model_v4,0.61,21,0.001
AF-A0A5K4F5Y8-F1-model_v4,0.8,22,0.002
AF-A0A5K4E9P2-F1-model_v4,3.72,22,0.114
AF-A0A5K4EFT8-F1-model_v4,7.2,22,0.314
AF-A0A3Q0KPU2-F1-model_v4,3.76,22,0.116
AF-A0A3Q0KL45-F1-model_v4,1.5,22,0.018
AF-A0A5K4FDY0-F1-model_v4,2.02,22,0.037
AF-A0A5K4FAS0-F1-model_v4,2.78,22,0.069
AF-A0A5K4F7D6-F1-model_v4,1.19,22,0.009
AF-A0A3Q0KQD9-F1-model_v4,1.22,22,0.01
AF-G4LZH7-F1-model_v4,10.32,22,0.478
AF-A0A5K4F0D8-F1-model_v4,1.04,22,0.006
AF-A0A5K4ER69-F1-model_v4,1.42,22,0.015
AF-A0A5K4F4N6-F1-model_v4,8.11,22,0.365
AF-A0A3Q0KJ97-F1-model_v4,9.53,22,0.44
AF-A0A5K4F7Y3-F1-model_v4,7.96,22,0.357
AF-A0A5K4FE39-F1-model_v4,1.14,22,0.008
AF-A0A5K4EVX7-F1-model_v4,8.91,22,0.409
AF-G4VL13-F1-model_v4,12.6,22,0.572
AF-A0A5K4FER0-F1-model_v4,2.41,22,0.052
AF-G4V981-F1-model_v4,2.06,22,0.038
AF-G4M062-F1-model_v4,2.05,22,0.038
AF-A0A5K4F8E8-F1-model_v4,6.48,22,0.275
AF-A0A5K4EBD7-F1-model_v4,1.37,22,0.014
AF-A0A3Q0KC91-F1-model_v4,4.69,22,0.169
AF-A0A0U5KJN7-F1-model_v4,3.42,22,0.098
AF-C4QPU3-F1-model_v4,2.45,22,0.054
AF-A0A3Q0KK49-F1-model_v4,1.0,22,0.005
AF-A0A5K4FCQ3-F1-model_v4,1.85,22,0.03
AF-A0A3Q0KRQ3-F1-model_v4,1.84,22,0.029
AF-A0A5K4F979-F1-model_v4,14.88,22,0.655
AF-A0A3Q0KG68-F1-model_v4,23.83,22,0.846
AF-A0A5K4FAP4-F1-model_v4,0.71,22,0.001
AF-A0A5K4FH87-F1-model_v4,0.93,22,0.004
AF-A0A5K4F627-F1-model_v4,5.35,22,0.208
AF-A0A5K4EM56-F1-model_v4,1.29,22,0.012
AF-A0A5K4F7G0-F1-model_v4,1.29,22,0.012
AF-G4V5V5-F1-model_v4,3.25,22,0.09
AF-A0A5K4F4S7-F1-model_v4,18.78,22,0.76
AF-G4VFV0-F1-model_v4,5.35,22,0.208
AF-A0A5K4F6A4-F1-model_v4,5.16,22,0.196
AF-A0A5K4F2I4-F1-model_v4,0.79,23,0.002
AF-A0A5K4EQR2-F1-model_v4,2.41,23,0.053
AF-A0A5K4EJ89-F1-model_v4,1.66,23,0.023
AF-G4M143-F1-model_v4,2.96,23,0.077
AF-G4V9X5-F1-model_v4,1.55,23,0.019
AF-G4VCT9-F1-model_v4,15.6,23,0.677
AF-A0A5K4F1N7-F1-model_v4,1.49,23,0.017
AF-A0A5K4EID3-F1-model_v4,32.03,23,0.913
AF-A0A5K4F562-F1-model_v4,27.0,23,0.878
AF-G4LX87-F1-model_v4,6.48,23,0.275
AF-A0A5K4F3C7-F1-model_v4,28.2,23,0.888
AF-A0A5K4EWB2-F1-model_v4,2.71,23,0.066
AF-G4VSL8-F1-model_v4,1.36,23,0.013
AF-A0A5K4EZ08-F1-model_v4,1.34,23,0.013
AF-A0A3Q0KKJ6-F1-model_v4,8.41,23,0.382
AF-A0A5K4F9N3-F1-model_v4,8.33,23,0.378
AF-A0A3Q0KR63-F1-model_v4,8.31,23,0.377
AF-A0A5K4F7Z6-F1-model_v4,28.83,23,0.892
AF-A0A5K4F1P6-F1-model_v4,1.32,23,0.012
AF-A0A5K4ESN2-F1-model_v4,3.08,23,0.083
AF-A0A3Q0KRD2-F1-model_v4,3.07,23,0.082
AF-A0A3Q0KRC1-F1-model_v4,12.32,23,0.561
AF-A0A5K4F951-F1-model_v4,1.56,23,0.019
AF-A0A5K4EKS3-F1-model_v4,1.92,23,0.033
AF-A0A5K4EJP3-F1-model_v4,1.9,23,0.032
AF-A0A5K4F5E2-F1-model_v4,2.01,23,0.036
AF-A0A3Q0KQ43-F1-model_v4,1.22,23,0.01
AF-A0A5K4FBG8-F1-model_v4,26.61,23,0.875
AF-A0A5K4ET66-F1-model_v4,1.62,23,0.021
AF-G4VAU8-F1-model_v4,6.92,23,0.299
AF-A0A3Q0KH22-F1-model_v4,17.34,23,0.724
AF-G4VEV8-F1-model_v4,15.17,23,0.665
AF-G4VID9-F1-model_v4,2.46,23,0.054
AF-A0A5K4ET95-F1-model_v4,11.85,23,0.543
AF-A0A5K4F7W9-F1-model_v4,5.72,23,0.23
AF-A0A3Q0KGG8-F1-model_v4,12.21,23,0.557
AF-A0A5K4F0I8-F1-model_v4,12.17,23,0.555
AF-A0A3Q0KJ23-F1-model_v4,2.94,23,0.076
AF-G4V7P1-F1-model_v4,5.79,24,0.233
AF-G4VRA5-F1-model_v4,19.89,24,0.784
AF-A0A5K4EK57-F1-model_v4,1.63,24,0.022
AF-A0A5K4E9N1-F1-model_v4,6.45,24,0.273
AF-A0A5K4EUD2-F1-model_v4,9.27,24,0.426
AF-A0A5K4EP70-F1-model_v4,8.8,24,0.403
AF-A0A5K4EW88-F1-model_v4,18.94,24,0.764
AF-A0A5K4F4U8-F1-model_v4,7.46,24,0.33
AF-A0A5K4F8I3-F1-model_v4,6.11,24,0.251
AF-A0A5K4FBM9-F1-model_v4,15.61,24,0.677
AF-A0A5K4F6R4-F1-model_v4,3.05,24,0.081
AF-A0A5K4F789-F1-model_v4,1.15,24,0.008
AF-A0A3Q0KN86-F1-model_v4,3.26,24,0.09
AF-G4VCC7-F1-model_v4,10.7,24,0.493
AF-A0A3Q0KU54-F1-model_v4,1.82,24,0.029
AF-A0A3Q0KG97-F1-model_v4,26.71,24,0.876
AF-A0A5K4FCD9-F1-model_v4,9.67,24,0.447
AF-A0A5K4FCA1-F1-model_v4,1.2,24,0.009
AF-A0A5K4F9E6-F1-model_v4,6.15,24,0.254
AF-G4M0P2-F1-model_v4,2.58,24,0.06
AF-A0A5K4ESF8-F1-model_v4,12.32,24,0.561
AF-A0A3Q0KNJ7-F1-model_v4,1.49,24,0.017
AF-A0A5K4F7P6-F1-model_v4,1.32,24,0.012
AF-A0A5K4F7U1-F1-model_v4,18.39,24,0.75
AF-G4V817-F1-model_v4,1.79,24,0.028
AF-A0A3Q0KU43-F1-model_v4,4.7,24,0.17
AF-A0A5K4ELE0-F1-model_v4,1.37,24,0.014
AF-A0A5K4F0H3-F1-model_v4,29.54,24,0.897
AF-A0A3Q0KSB0-F1-model_v4,6.71,24,0.287
AF-A0A5K4F6E1-F1-model_v4,18.32,24,0.748
AF-A0A3Q0KJ25-F1-model_v4,3.29,24,0.091
AF-G4V6M3-F1-model_v4,6.48,24,0.275
AF-A0A5K4EWU6-F1-model_v4,1.12,24,0.007
AF-G4V862-F1-model_v4,3.43,24,0.098
AF-A0A3Q0KP69-F1-model_v4,4.41,24,0.153
AF-G4VNL7-F1-model_v4,3.21,24,0.088
AF-A0A5K4EP28-F1-model_v4,40.75,24,0.948
AF-A0A5K4F6I2-F1-model_v4,21.55,24,0.812
AF-G4LZI8-F1-model_v4,2.3,24,0.048
AF-A0A5K4F9Y4-F1-model_v4,5.19,24,0.198
AF-A0A5K4FAZ9-F1-model_v4,12.79,24,0.58
AF-A0A3Q0KT87-F1-model_v4,5.7,24,0.228
AF-G4VRX2-F1-model_v4,0.9,24,0.003
AF-A0A5K4EPL0-F1-model_v4,0.76,24,0.002
AF-G4V6C9-F1-model_v4,26.28,24,0.872
AF-G4LWX5-F1-model_v4,0.93,25,0.004
AF-A0A5K4EXK4-F1-model_v4,33.43,25,0.922
AF-A0A5K4F7J7-F1-model_v4,10.14,25,0.469
AF-A0A5K4F5Z4-F1-model_v4,2.26,25,0.046
AF-A0A5K4EWG1-F1-model_v4,21.62,25,0.814
AF-A0A5K4EA29-F1-model_v4,2.95,25,0.076
AF-A0A5K4EV33-F1-model_v4,11.92,25,0.546
AF-G4V7P2-F1-model_v4,8.06,25,0.363
AF-A0A3Q0KQW1-F1-model_v4,6.01,25,0.246
AF-G4VHU9-F1-model_v4,1.17,25,0.009
AF-A0A5K4F3U5-F1-model_v4,6.5,25,0.276
AF-A0A3Q0KRS9-F1-model_v4,14.11,25,0.627
AF-A0A5K4FCI2-F1-model_v4,10.95,25,0.505
AF-A0A5K4EDU0-F1-model_v4,1.17,25,0.009
AF-G4VHW0-F1-model_v4,4.2,25,0.141
AF-A0A3Q0KMU6-F1-model_v4,6.89,25,0.297
AF-D7PD52-F1-model_v4,8.94,25,0.41
AF-A0A5K4EPV7-F1-model_v4,11.44,25,0.528
AF-A0A5K4FAK2-F1-model_v4,1.39,25,0.014
AF-A0A5K4F7Q8-F1-model_v4,16.89,25,0.712
AF-A0A5K4EPC8-F1-model_v4,11.24,25,0.519
AF-A0A5K4F5L4-F1-model_v4,1.32,25,0.012
AF-A0A5K4FDH3-F1-model_v4,3.56,25,0.106
AF-A0A5K4F9E7-F1-model_v4,3.67,25,0.112
AF-G4VTQ2-F1-model_v4,2.87,25,0.073
AF-A0A3Q0KKT2-F1-model_v4,11.38,25,0.525
AF-A0A5K4EB11-F1-model_v4,1.7,25,0.024
AF-A0A5K4E8N9-F1-model_v4,23.97,25,0.848
AF-A0A5K4F6D9-F1-model_v4,1.06,25,0.006
AF-A0A5K4EDL0-F1-model_v4,3.12,25,0.084
AF-A0A3Q0KSF6-F1-model_v4,1.9,25,0.032
AF-G4M0F4-F1-model_v4,22.29,25,0.824
AF-A0A5K4F126-F1-model_v4,1.35,25,0.013
AF-A0A5K4F0L7-F1-model_v4,7.21,25,0.315
AF-A0A5K4ENY2-F1-model_v4,23.62,25,0.843
AF-A0A5K4EL24-F1-model_v4,3.98,25,0.128
AF-A0A5K4ENY7-F1-model_v4,1.8,25,0.028
AF-A0A5K4ECS9-F1-model_v4,1.24,25,0.01
AF-A0A5K4E9B2-F1-model_v4,14.04,25,0.624
AF-A0A5K4F3U8-F1-model_v4,3.49,25,0.102
AF-A0A5K4F598-F1-model_v4,7.1,25,0.308
AF-G4VPT8-F1-model_v4,3.6,25,0.107
AF-A0A5K4E8L0-F1-model_v4,3.88,25,0.123
AF-A0A5K4F4B1-F1-model_v4,23.35,25,0.84
AF-A0A5K4FEX4-F1-model_v4,5.85,25,0.236
AF-A0A5K4F7S4-F1-model_v4,5.11,25,0.193
AF-A0A5K4F6N1-F1-model_v4,5.76,25,0.232
AF-A0A3Q0KTD4-F1-model_v4,2.91,25,0.075
AF-A0A3Q0KKU0-F1-model_v4,5.45,25,0.214
AF-A0A3Q0KG39-F1-model_v4,1.87,26,0.031
AF-G4VLC2-F1-model_v4,8.87,26,0.407
AF-A0A5K4F4A4-F1-model_v4,1.36,26,0.013
AF-A0A5K4F8V0-F1-model_v4,2.72,26,0.066
AF-G4VLA4-F1-model_v4,2.24,26,0.045
AF-A0A3Q0KLL3-F1-model_v4,47.08,26,0.962 hey
AF-G4VGT2-F1-model_v4,12.45,26,0.567
AF-G4VGN3-F1-model_v4,1.65,26,0.022
AF-A0A5K4ES61-F1-model_v4,1.4,26,0.015
AF-A0A5K4F0A6-F1-model_v4,6.83,26,0.294
AF-A0A3Q0KQ91-F1-model_v4,4.31,26,0.147
AF-A0A5K4F8U3-F1-model_v4,2.13,26,0.041
AF-A0A3Q0KMM9-F1-model_v4,0.92,26,0.004
AF-A0A5K4FAH8-F1-model_v4,1.03,26,0.006
AF-A0A5K4FAI2-F1-model_v4,30.84,26,0.906
AF-A0A5K4F1Z8-F1-model_v4,1.89,26,0.031
AF-A0A5K4F6S4-F1-model_v4,2.37,26,0.05
AF-A0A5K4F6U6-F1-model_v4,10.78,26,0.497
AF-A0A5K4F7U0-F1-model_v4,6.2,26,0.257
AF-A0A3Q0KU47-F1-model_v4,1.24,26,0.01
AF-A0A5K4F7A7-F1-model_v4,8.72,26,0.399
AF-A0A5K4FAL4-F1-model_v4,1.53,26,0.018
AF-A0A5K4EKV7-F1-model_v4,4.88,26,0.18
AF-A0A3Q0KG85-F1-model_v4,5.01,26,0.187
AF-A0A5K4F7A3-F1-model_v4,5.56,26,0.22
AF-A0A5K4E9R0-F1-model_v4,5.6,26,0.223
AF-A0A5K4F902-F1-model_v4,10.04,26,0.464
AF-A0A5K4FFR0-F1-model_v4,27.11,26,0.879
AF-G4VIU5-F1-model_v4,1.15,26,0.008
AF-A0A5K4F4H9-F1-model_v4,1.55,26,0.019
AF-A0A5K4F701-F1-model_v4,0.66,26,0.001
AF-A0A5K4F5N8-F1-model_v4,2.31,26,0.048
AF-A0A5K4F6F1-F1-model_v4,2.66,26,0.063
AF-A0A5K4F6R3-F1-model_v4,3.4,26,0.097
AF-A0A3Q0KPD5-F1-model_v4,1.57,26,0.02
AF-A0A5K4F0P9-F1-model_v4,0.88,26,0.003
AF-A0A5K4ERA6-F1-model_v4,5.18,26,0.197
AF-A0A5K4F6E3-F1-model_v4,5.03,27,0.189
AF-A0A5K4EGK7-F1-model_v4,0.89,27,0.003
AF-A0A5K4F7V2-F1-model_v4,5.14,27,0.195
AF-A0A3Q0KPN4-F1-model_v4,1.0,27,0.005
AF-G4VID2-F1-model_v4,1.53,27,0.018
AF-A0A5K4FGV6-F1-model_v4,28.24,27,0.888
AF-A0A5K4EHE9-F1-model_v4,2.69,27,0.065
AF-A0A3Q0KLE8-F1-model_v4,13.97,27,0.622
AF-G4LXE1-F1-model_v4,13.36,27,0.6
AF-A0A3Q0KMS0-F1-model_v4,6.44,27,0.272
AF-A0A5K4FCP9-F1-model_v4,8.07,27,0.363
AF-A0A3Q0KSM3-F1-model_v4,1.21,27,0.009
AF-A0A5K4F4Y0-F1-model_v4,1.16,27,0.008
AF-A0A5K4F9A7-F1-model_v4,1.16,27,0.008
AF-A0A5K4F4M2-F1-model_v4,1.13,27,0.008
AF-A0A5K4F9F6-F1-model_v4,11.4,27,0.526
AF-A0A5K4FAY7-F1-model_v4,53.82,27,0.972
AF-A0A5K4F7E7-F1-model_v4,2.2,27,0.044
AF-A0A3Q0KSA4-F1-model_v4,5.63,27,0.225
AF-A0A5K4F3Q9-F1-model_v4,8.94,27,0.411
AF-A0A5K4F4C8-F1-model_v4,11.33,27,0.522
AF-A0A5K4F8X0-F1-model_v4,1.26,27,0.011
AF-A0A5K4FC00-F1-model_v4,1.3,27,0.012
AF-G4VDQ9-F1-model_v4,1.04,27,0.006
AF-A0A5K4F7N1-F1-model_v4,10.74,27,0.495
AF-G4LX94-F1-model_v4,7.41,27,0.327
