Filename,First Score,First Probability
AF-A0A3Q0KG70-F1-model_v4,78.23,0.991
AF-A0A5K4FGT9-F1-model_v4,78.22,0.991
AF-A0A5K4E8E8-F1-model_v4,78.2,0.991
AF-A0A5K4EQ53-F1-model_v4,78.2,0.991
AF-A0A5K4F5G7-F1-model_v4,78.11,0.991
AF-A0A3Q0KP03-F1-model_v4,77.54,0.991
AF-A0A5K4EVU9-F1-model_v4,76.83,0.991
AF-A0A5K4FAB0-F1-model_v4,76.8,0.991
AF-A0A5K4F366-F1-model_v4,76.75,0.991
AF-A0A5K4EL37-F1-model_v4,76.34,0.99
AF-A0A3Q0KR61-F1-model_v4,75.89,0.99
AF-A0A5K4FAT2-F1-model_v4,75.38,0.99
AF-G4VA06-F1-model_v4,75.31,0.99
AF-A0A5K4F514-F1-model_v4,75.28,0.99
AF-A0A3Q0KCT4-F1-model_v4,75.15,0.99
AF-A0A5K4ETC5-F1-model_v4,75.11,0.99
AF-A0A5K4FC78-F1-model_v4,75.05,0.99
AF-A0A3Q0KC98-F1-model_v4,74.29,0.99
AF-A0A5K4F550-F1-model_v4,74.13,0.99
AF-A0A5K4F0V1-F1-model_v4,74.0,0.99
AF-A0A5K4FA65-F1-model_v4,73.94,0.99
AF-G4VDS9-F1-model_v4,73.8,0.989
AF-A0A5K4EZD7-F1-model_v4,73.77,0.989
AF-A0A5K4FA21-F1-model_v4,73.75,0.989
AF-A0A3Q0KBR4-F1-model_v4,73.63,0.989
AF-A0A3Q0KD42-F1-model_v4,73.57,0.989
AF-A0A3Q0KRI2-F1-model_v4,73.44,0.989
AF-A0A3Q0KF11-F1-model_v4,73.26,0.989
AF-E2EAJ0-F1-model_v4,73.24,0.989
AF-G4VGT4-F1-model_v4,72.96,0.989
AF-A0A5K4EPK2-F1-model_v4,72.88,0.989
AF-A0A5K4FD45-F1-model_v4,72.62,0.989
AF-G4VPT0-F1-model_v4,72.6,0.989
AF-A0A3Q0KMJ2-F1-model_v4,72.52,0.989
AF-A0A3Q0KTS7-F1-model_v4,72.51,0.989
AF-A0A3Q0KED4-F1-model_v4,72.47,0.989
AF-A0A5K4FBS3-F1-model_v4,72.42,0.989
AF-A0A5K4FAL6-F1-model_v4,72.35,0.989
AF-A0A3Q0KRC2-F1-model_v4,72.15,0.988
AF-A0A3Q0KC36-F1-model_v4,72.05,0.988
AF-A0A3Q0KKL2-F1-model_v4,71.88,0.988
AF-A0A3Q0KGN3-F1-model_v4,71.69,0.988
AF-A0A3Q0KSD9-F1-model_v4,71.65,0.988
AF-G4M044-F1-model_v4,71.17,0.988
AF-A0A5K4EBP5-F1-model_v4,71.12,0.988
AF-G4VQU6-F1-model_v4,71.11,0.988
AF-A0A3Q0KMQ6-F1-model_v4,70.99,0.988
AF-A0A5K4F9J1-F1-model_v4,70.55,0.988
AF-G4VJL7-F1-model_v4,70.23,0.988
AF-A0A5K4ESX3-F1-model_v4,70.17,0.988
AF-A0A3Q0KP42-F1-model_v4,69.93,0.988
AF-A0A3Q0KC34-F1-model_v4,69.91,0.988
AF-A0A3Q0KM14-F1-model_v4,69.13,0.987
AF-A0A5K4FA76-F1-model_v4,68.94,0.987
AF-A0A3Q0KPS7-F1-model_v4,68.89,0.987
AF-G4VCW4-F1-model_v4,68.76,0.987
AF-A0A3Q0KRS4-F1-model_v4,68.63,0.987
AF-G4VLI4-F1-model_v4,68.62,0.987
AF-A0A3Q0KKP1-F1-model_v4,68.53,0.987
AF-A0A3Q0KE75-F1-model_v4,68.03,0.987
AF-A0A5K4FB76-F1-model_v4,68.0,0.987
AF-A0A5K4F3M5-F1-model_v4,67.89,0.987
AF-A0A3Q0KLB2-F1-model_v4,67.87,0.987
AF-A0A5K4EKM7-F1-model_v4,67.53,0.987
AF-A0A3Q0KHZ5-F1-model_v4,67.33,0.987
AF-A0A3Q0KF51-F1-model_v4,67.22,0.987
AF-G4V9W8-F1-model_v4,67.17,0.987
AF-A0A5K4ET18-F1-model_v4,66.54,0.986
AF-A0A5K4F2U4-F1-model_v4,66.36,0.986
AF-A0A3Q0KT12-F1-model_v4,66.15,0.986
AF-A0A3Q0KMA3-F1-model_v4,65.95,0.986
AF-G4M0F5-F1-model_v4,65.86,0.986
AF-A0A3Q0KM22-F1-model_v4,65.76,0.986
AF-A0A5K4F9D3-F1-model_v4,65.72,0.986
AF-A0A5K4FBN9-F1-model_v4,65.72,0.986
AF-A0A3Q0KQL8-F1-model_v4,65.69,0.986
AF-A0A3Q0KNF9-F1-model_v4,65.63,0.986
AF-A0A3Q0KLZ3-F1-model_v4,65.61,0.986
AF-A0A3Q0KQH8-F1-model_v4,65.56,0.986
AF-A0A5K4F590-F1-model_v4,65.35,0.986
AF-A0A5K4FA44-F1-model_v4,65.34,0.986
AF-G4VJB9-F1-model_v4,65.3,0.986
AF-A0A5K4FCN8-F1-model_v4,65.25,0.986
AF-A0A5K4ERC3-F1-model_v4,65.24,0.986
AF-A0A5K4E959-F1-model_v4,65.06,0.986
AF-A0A3Q0KLN9-F1-model_v4,64.95,0.986
AF-A0A5K4EM86-F1-model_v4,64.72,0.986
AF-A0A5K4F7R5-F1-model_v4,64.71,0.986
AF-A0A3Q0KKY8-F1-model_v4,64.56,0.986
AF-A0A5K4F4L5-F1-model_v4,64.45,0.985
AF-A0A5K4F1Z4-F1-model_v4,64.44,0.985
AF-A0A3Q0KPX2-F1-model_v4,64.37,0.985
AF-A0A5K4ENU1-F1-model_v4,64.36,0.985
AF-A0A5K4EMK9-F1-model_v4,64.34,0.985
AF-A0A5K4FEF8-F1-model_v4,64.16,0.985
AF-A0A3Q0KTT2-F1-model_v4,63.85,0.985
AF-A0A3Q0KJX7-F1-model_v4,63.71,0.985
AF-G4V8Y8-F1-model_v4,63.49,0.985
AF-G4VEC4-F1-model_v4,63.48,0.985
AF-A0A3Q0KD80-F1-model_v4,63.44,0.985
AF-A0A3Q0KPX9-F1-model_v4,63.39,0.985
AF-A0A5K4EJL2-F1-model_v4,63.36,0.985
AF-A0A3Q0KMG4-F1-model_v4,63.28,0.985
AF-A0A3Q0KSX0-F1-model_v4,63.28,0.985
AF-A0A5K4F4I2-F1-model_v4,63.27,0.985
AF-A0A3Q0KRI4-F1-model_v4,63.22,0.985
AF-A0A3Q0KQ06-F1-model_v4,63.1,0.985
AF-A0A3Q0KJL0-F1-model_v4,63.02,0.985
AF-A0A5K4FAZ7-F1-model_v4,63.0,0.985
AF-A0A5K4FAN1-F1-model_v4,62.89,0.985
AF-A0A3Q0KV01-F1-model_v4,62.8,0.985
AF-A0A5K4F6S3-F1-model_v4,62.71,0.985
AF-G4VPI1-F1-model_v4,62.68,0.984
AF-A0A5K4F9V7-F1-model_v4,62.6,0.984
AF-A0A5K4ENR6-F1-model_v4,62.49,0.984
AF-A0A5K4E8H5-F1-model_v4,62.48,0.984
AF-A0A5K4ETP2-F1-model_v4,62.46,0.984
AF-G4LWL6-F1-model_v4,62.46,0.984
AF-A0A5K4F1B6-F1-model_v4,62.44,0.984
AF-G4VC18-F1-model_v4,62.36,0.984
AF-A0A3Q0KKK1-F1-model_v4,62.33,0.984
AF-A0A5K4F9I9-F1-model_v4,62.3,0.984
AF-A0A3Q0KT90-F1-model_v4,62.17,0.984
AF-A0A5K4F873-F1-model_v4,61.96,0.984
AF-A0A3Q0KRY0-F1-model_v4,61.92,0.984
AF-A0A5K4FBC7-F1-model_v4,61.86,0.984
AF-G4V9S9-F1-model_v4,61.85,0.983
AF-A0A3Q0KNR1-F1-model_v4,61.61,0.983
AF-A0A3Q0KDM8-F1-model_v4,61.6,0.983
AF-A0A3Q0KQW9-F1-model_v4,61.52,0.983
AF-A0A3Q0KR05-F1-model_v4,61.48,0.983
AF-A0A5K4F163-F1-model_v4,61.46,0.983
AF-G4VCN8-F1-model_v4,61.38,0.983
AF-A0A5K4F2G3-F1-model_v4,61.36,0.983
AF-G4M079-F1-model_v4,61.35,0.983
AF-A0A5K4F1R9-F1-model_v4,61.33,0.983
AF-A0A5K4EY49-F1-model_v4,61.22,0.983
AF-A0A3Q0KR19-F1-model_v4,61.21,0.983
AF-G4VH67-F1-model_v4,61.2,0.983
AF-A0A5K4ET32-F1-model_v4,61.15,0.983
AF-A0A3Q0KP53-F1-model_v4,61.03,0.983
AF-G4LUD8-F1-model_v4,61.03,0.983
AF-G4LWI3-F1-model_v4,60.64,0.982
AF-G4VIR8-F1-model_v4,60.57,0.982
AF-G4VTW0-F1-model_v4,60.56,0.982
AF-A0A3Q0KR35-F1-model_v4,60.51,0.982
AF-A0A5K4F699-F1-model_v4,60.51,0.982
AF-A0A5K4F0X7-F1-model_v4,60.46,0.982
AF-A0A5K4ECX3-F1-model_v4,60.32,0.982
AF-A0A5K4EPI8-F1-model_v4,60.31,0.982
AF-G4LVW2-F1-model_v4,60.27,0.982
AF-A0A5K4F7E9-F1-model_v4,60.21,0.982
AF-A0A5K4FBV1-F1-model_v4,60.16,0.982
AF-G4LWI0-F1-model_v4,60.14,0.982
AF-A0A5K4EFB2-F1-model_v4,59.95,0.982
AF-A0A3Q0KQM4-F1-model_v4,59.92,0.982
AF-A0A5K4FDF8-F1-model_v4,59.89,0.982
AF-A0A3Q0KBX9-F1-model_v4,59.77,0.982
AF-A0A3Q0KHE7-F1-model_v4,59.61,0.982
AF-A0A5K4EYD4-F1-model_v4,59.53,0.982
AF-G4VTC3-F1-model_v4,59.46,0.982
AF-A0A3Q0KJH3-F1-model_v4,59.38,0.981
AF-A0A3Q0KES3-F1-model_v4,59.34,0.981
AF-A0A5K4EXN7-F1-model_v4,59.33,0.981
AF-A0A3Q0KIW1-F1-model_v4,59.3,0.981
AF-A0A5K4EWL6-F1-model_v4,59.15,0.981
AF-A0A3Q0KUB3-F1-model_v4,59.14,0.981
AF-Q26579-F1-model_v4,58.97,0.981
AF-A0A3Q0KSP7-F1-model_v4,58.68,0.98
AF-G4VAX0-F1-model_v4,58.68,0.98
AF-G4VFD7-F1-model_v4,58.57,0.98
AF-A0A5K4EZ34-F1-model_v4,58.5,0.979
AF-A0A5K4EEQ9-F1-model_v4,58.44,0.979
AF-A0A3Q0KN92-F1-model_v4,58.41,0.979
AF-A0A5K4ER68-F1-model_v4,58.33,0.979
AF-A0A5K4F490-F1-model_v4,58.33,0.979
AF-A0A5K4F135-F1-model_v4,58.14,0.979
AF-A0A5K4EHC2-F1-model_v4,57.93,0.978
AF-A0A5K4FD69-F1-model_v4,57.91,0.978
AF-A0A5K4F2H2-F1-model_v4,57.86,0.978
AF-G4VK90-F1-model_v4,57.81,0.978
AF-A0A3Q0KNQ1-F1-model_v4,57.78,0.978
AF-A0A5K4F182-F1-model_v4,57.78,0.978
AF-A0A3Q0KP43-F1-model_v4,57.64,0.977
AF-A0A5K4FD60-F1-model_v4,57.64,0.977
AF-G4LZH0-F1-model_v4,57.64,0.977
AF-A0A5K4EZL3-F1-model_v4,57.58,0.977
AF-G4VEN7-F1-model_v4,57.56,0.977
AF-A0A5K4EBQ3-F1-model_v4,57.48,0.977
AF-A0A5K4ERR4-F1-model_v4,57.44,0.977
AF-A0A5K4FCT9-F1-model_v4,57.39,0.977
AF-A0A5K4FD58-F1-model_v4,57.24,0.977
AF-A0A5K4EUU6-F1-model_v4,57.12,0.977
AF-A0A5K4F7K3-F1-model_v4,57.12,0.977
AF-G4VC44-F1-model_v4,57.11,0.977
AF-G4VDB4-F1-model_v4,57.08,0.976
AF-A0A5K4FCE6-F1-model_v4,56.98,0.976
AF-A0A5K4ETC1-F1-model_v4,56.72,0.976
AF-A0A5K4EN73-F1-model_v4,56.71,0.976
AF-G4LYW2-F1-model_v4,56.62,0.976
AF-A0A3Q0KIZ3-F1-model_v4,56.56,0.976
AF-A0A5K4FCD6-F1-model_v4,56.53,0.976
AF-A0A3Q0KGQ7-F1-model_v4,56.5,0.976
AF-A0A3Q0KJC7-F1-model_v4,56.5,0.976
AF-A0A5K4F0L5-F1-model_v4,56.5,0.976
AF-A0A3Q0KMF5-F1-model_v4,56.45,0.976
AF-G4VMC2-F1-model_v4,56.43,0.976
AF-A0A3Q0KSU1-F1-model_v4,56.42,0.976
AF-T1VXA1-F1-model_v4,56.4,0.976
AF-A0A5K4F002-F1-model_v4,56.34,0.976
AF-E2EAJ1-F1-model_v4,56.19,0.975
AF-A0A5K4F0F3-F1-model_v4,56.17,0.975
AF-G4VHD5-F1-model_v4,56.04,0.975
AF-A0A5K4F3E0-F1-model_v4,56.03,0.975
AF-A0A3Q0KRN9-F1-model_v4,56.01,0.975
AF-A0A5K4F1N1-F1-model_v4,55.98,0.975
AF-A0A5K4ESI5-F1-model_v4,55.94,0.975
AF-A0A3Q0KTW2-F1-model_v4,55.87,0.975
AF-A0A5K4F192-F1-model_v4,55.83,0.975
AF-G4V8Y9-F1-model_v4,55.8,0.975
AF-G4V636-F1-model_v4,55.79,0.975
AF-Q27778-F1-model_v4,55.78,0.975
AF-A0A5K4FEI5-F1-model_v4,55.76,0.975
AF-A0A3Q0KUF1-F1-model_v4,55.65,0.975
AF-A0A3Q0KR40-F1-model_v4,55.6,0.975
AF-A0A3Q0KMM7-F1-model_v4,55.56,0.975
AF-G4LYS9-F1-model_v4,55.52,0.975
AF-A0A3Q0KR31-F1-model_v4,55.51,0.975
AF-A0A5K4EHY0-F1-model_v4,55.48,0.974
AF-A0A3Q0KFK3-F1-model_v4,55.38,0.974
AF-A0A5K4F0U2-F1-model_v4,55.33,0.974
AF-A0A5K4ELI8-F1-model_v4,55.23,0.974
AF-A0A3Q0KPY5-F1-model_v4,55.19,0.974
AF-A0A3Q0KEG1-F1-model_v4,55.17,0.974
AF-G4LZ15-F1-model_v4,55.14,0.974
AF-A0A5K4FC44-F1-model_v4,55.07,0.974
AF-G4VBK5-F1-model_v4,55.03,0.974
AF-G4VCL1-F1-model_v4,55.0,0.974
AF-A0A3Q0KS77-F1-model_v4,54.99,0.974
AF-A0A3Q0KP74-F1-model_v4,54.92,0.974
AF-A0A5K4F874-F1-model_v4,54.92,0.974
AF-A0A3Q0KLM1-F1-model_v4,54.81,0.974
AF-A0A5K4F4N5-F1-model_v4,54.77,0.974
AF-A0A3Q0KV61-F1-model_v4,54.53,0.973
AF-A0A3Q0KPA9-F1-model_v4,54.5,0.973
AF-G4LX03-F1-model_v4,54.46,0.973
AF-A0A5K4EWB4-F1-model_v4,54.42,0.973
AF-A0A5K4F2B2-F1-model_v4,54.39,0.973
AF-A0A3Q0KU51-F1-model_v4,54.38,0.973
AF-A0A3Q0KRI9-F1-model_v4,54.32,0.973
AF-A0A5K4F3Z5-F1-model_v4,54.29,0.973
AF-A0A5K4EJR6-F1-model_v4,54.23,0.973
AF-A0A5K4ELJ0-F1-model_v4,54.15,0.972
AF-A0A3Q0KU52-F1-model_v4,54.11,0.972
AF-A0A5K4F0U1-F1-model_v4,53.88,0.972
AF-A0A5K4FAY7-F1-model_v4,53.82,0.972
AF-A0A3Q0KRI6-F1-model_v4,53.75,0.971
AF-A0A5K4EXF8-F1-model_v4,53.75,0.971
AF-A0A5K4F061-F1-model_v4,53.75,0.971
AF-A0A3Q0KCT3-F1-model_v4,53.71,0.971
AF-A0A5K4F1B1-F1-model_v4,53.71,0.971
AF-G4VSL5-F1-model_v4,53.71,0.971
AF-A0A5K4FA40-F1-model_v4,53.62,0.971
AF-A0A5K4F752-F1-model_v4,53.59,0.971
AF-G4VBH0-F1-model_v4,53.47,0.971
AF-A0A3Q0KN17-F1-model_v4,53.44,0.971
AF-A0A5K4F4Y8-F1-model_v4,53.4,0.971
AF-G4LUE4-F1-model_v4,53.4,0.971
AF-A0A3Q0KDL6-F1-model_v4,53.39,0.971
AF-A0A5K4FES7-F1-model_v4,53.35,0.97
AF-A0A3Q0KCK2-F1-model_v4,53.34,0.97
AF-G4VR23-F1-model_v4,53.34,0.97
AF-A0A5K4F2D0-F1-model_v4,53.32,0.97
AF-A0A3Q0KUG7-F1-model_v4,53.2,0.97
AF-A0A3Q0KNL7-F1-model_v4,53.09,0.97
AF-G4VD35-F1-model_v4,53.05,0.97
AF-A0A3Q0KTI4-F1-model_v4,53.01,0.97
AF-A0A5K4FE79-F1-model_v4,53.01,0.97
AF-A0A3Q0KKR7-F1-model_v4,52.96,0.97
AF-A0A5K4F957-F1-model_v4,52.96,0.97
AF-A0A3Q0KUJ8-F1-model_v4,52.92,0.97
AF-A0A5K4FBR5-F1-model_v4,52.85,0.97
AF-A0A3Q0KTR4-F1-model_v4,52.84,0.97
AF-A0A5K4F2R2-F1-model_v4,52.81,0.97
AF-A0A3Q0KKY7-F1-model_v4,52.79,0.97
AF-G4V8H4-F1-model_v4,52.79,0.97
AF-G4VD90-F1-model_v4,52.79,0.97
AF-A0A5K4FE40-F1-model_v4,52.76,0.97
AF-A0A3Q0KKR6-F1-model_v4,52.7,0.97
AF-A0A5K4F5D4-F1-model_v4,52.7,0.97
AF-A0A3Q0KQN6-F1-model_v4,52.68,0.97
AF-A0A3Q0KFL1-F1-model_v4,52.55,0.97
AF-G4LY63-F1-model_v4,52.55,0.97
AF-A0A5K4EPS1-F1-model_v4,52.4,0.97
AF-A0A5K4EX30-F1-model_v4,52.35,0.97
AF-A0A3Q0KSV1-F1-model_v4,52.31,0.97
AF-A0A5K4FAI1-F1-model_v4,52.31,0.97
AF-G4LY75-F1-model_v4,52.22,0.97
AF-G4VF13-F1-model_v4,52.2,0.97
AF-A0A3Q0KSQ4-F1-model_v4,52.16,0.97
AF-A0A5K4F5V7-F1-model_v4,52.08,0.97
AF-A0A5K4FD08-F1-model_v4,52.06,0.97
AF-A0A5K4FBJ5-F1-model_v4,52.04,0.97
AF-A0A5K4EUD5-F1-model_v4,51.99,0.969
AF-G4VI72-F1-model_v4,51.96,0.969
AF-A0A3Q0KBA3-F1-model_v4,51.86,0.969
AF-A0A5K4EPG4-F1-model_v4,51.86,0.969
AF-G4LVD7-F1-model_v4,51.85,0.969
AF-A0A5K4ELP7-F1-model_v4,51.81,0.969
AF-A0A3Q0KMD5-F1-model_v4,51.8,0.969
AF-A0A5K4FDF2-F1-model_v4,51.75,0.969
AF-G4LUL1-F1-model_v4,51.75,0.969
AF-A0A5K4EKL2-F1-model_v4,51.71,0.969
AF-A0A3Q0KLV0-F1-model_v4,51.69,0.969
AF-A0A5K4EQL5-F1-model_v4,51.69,0.969
AF-A0A5K4FAK0-F1-model_v4,51.66,0.969
AF-A0A5K4F5D8-F1-model_v4,51.62,0.969
AF-A0A5K4F3M0-F1-model_v4,51.61,0.969
AF-A0A5K4FAE9-F1-model_v4,51.56,0.969
AF-G4V8Q5-F1-model_v4,51.53,0.969
AF-A0A5K4F5W5-F1-model_v4,51.5,0.969
AF-A0A3Q0KKE9-F1-model_v4,51.49,0.969
AF-A0A5K4F9N1-F1-model_v4,51.38,0.969
AF-G4VEM1-F1-model_v4,51.36,0.969
AF-A0A5K4FE60-F1-model_v4,51.28,0.969
AF-A0A3Q0KFI6-F1-model_v4,51.24,0.969
AF-A0A3Q0KK89-F1-model_v4,51.21,0.969
AF-A0A3Q0KN57-F1-model_v4,51.21,0.969
AF-G4VCM2-F1-model_v4,51.15,0.968
AF-A0A3Q0KDE7-F1-model_v4,51.06,0.968
AF-A0A5K4ER72-F1-model_v4,51.05,0.968
AF-A0A5K4F046-F1-model_v4,51.01,0.968
AF-A0A5K4FCL1-F1-model_v4,50.93,0.968
AF-A0A3Q0KC41-F1-model_v4,50.88,0.968
AF-A0A5K4F0I5-F1-model_v4,50.88,0.968
AF-G4VHY4-F1-model_v4,50.87,0.968
AF-A0A3Q0KF26-F1-model_v4,50.85,0.968
AF-A0A5K4EVT8-F1-model_v4,50.83,0.968
AF-A0A3Q0KQS0-F1-model_v4,50.8,0.968
AF-G4VBL6-F1-model_v4,50.73,0.968
AF-A0A5K4EWD5-F1-model_v4,50.71,0.968
AF-A0A5K4ECJ4-F1-model_v4,50.69,0.968
AF-A0A3Q0KVC3-F1-model_v4,50.65,0.968
AF-A0A5K4F517-F1-model_v4,50.65,0.968
AF-A0A3Q0KPS1-F1-model_v4,50.63,0.968
AF-A0A3Q0KPY0-F1-model_v4,50.62,0.968
AF-A0A5K4F3M8-F1-model_v4,50.61,0.968
AF-A0A5K4FBE7-F1-model_v4,50.6,0.968
AF-A0A5K4FCZ7-F1-model_v4,50.46,0.968
AF-G4VN20-F1-model_v4,50.46,0.968
AF-A0A5K4EVE7-F1-model_v4,50.38,0.968
AF-A0A3Q0KSL7-F1-model_v4,50.37,0.968
AF-A0A3Q0KRN3-F1-model_v4,50.26,0.968
AF-A0A5K4ERP3-F1-model_v4,50.26,0.968
AF-G4VPX7-F1-model_v4,50.2,0.968
AF-A0A3Q0KBQ1-F1-model_v4,50.15,0.968
AF-A0A3Q0KT36-F1-model_v4,50.1,0.967
AF-A0A3Q0KK01-F1-model_v4,50.09,0.967
AF-A0A5K4FFD6-F1-model_v4,50.08,0.967
AF-G4VDQ6-F1-model_v4,50.05,0.967
AF-A0A3Q0KLG2-F1-model_v4,50.01,0.967
AF-G4VEL6-F1-model_v4,49.98,0.967
AF-A0A5K4F5M2-F1-model_v4,49.71,0.967
AF-A0A5K4FD01-F1-model_v4,49.71,0.967
AF-A0A3Q0KKT8-F1-model_v4,49.68,0.967
AF-A0A5K4F091-F1-model_v4,49.65,0.967
AF-A0A5K4F1J5-F1-model_v4,49.64,0.967
AF-Q71SU7-F1-model_v4,49.63,0.967
AF-A0A3Q0KMM5-F1-model_v4,49.58,0.967
AF-A0A3Q0KQN8-F1-model_v4,49.58,0.967
AF-A0A5K4F377-F1-model_v4,49.58,0.967
AF-A0A5K4EPL3-F1-model_v4,49.57,0.967
AF-A0A3Q0KKT0-F1-model_v4,49.56,0.967
AF-G4VIY7-F1-model_v4,49.56,0.967
AF-G4VKA6-F1-model_v4,49.54,0.967
AF-A0A5K4F9V4-F1-model_v4,49.5,0.967
AF-A0A3Q0KFV6-F1-model_v4,49.49,0.967
AF-A0A5K4EU92-F1-model_v4,49.46,0.967
AF-A0A3Q0KPA6-F1-model_v4,49.45,0.967
AF-A0A3Q0KPD2-F1-model_v4,49.45,0.967
AF-A0A5K4FC33-F1-model_v4,49.42,0.966
AF-A0A3Q0KK66-F1-model_v4,49.37,0.966
AF-A0A3Q0KTU9-F1-model_v4,49.37,0.966
AF-A0A5K4F031-F1-model_v4,49.37,0.966
AF-A0A5K4F1S3-F1-model_v4,49.37,0.966
AF-A0A5K4F7I2-F1-model_v4,49.31,0.966
AF-A0A5K4FD31-F1-model_v4,49.3,0.966
AF-A0A5K4EGT7-F1-model_v4,49.27,0.966
AF-A0A3Q0KQW7-F1-model_v4,49.26,0.966
AF-A0A5K4F007-F1-model_v4,49.24,0.966
AF-A0A5K4F4M0-F1-model_v4,49.21,0.966
AF-G4VQY8-F1-model_v4,49.08,0.966
AF-A0A5K4FA56-F1-model_v4,49.07,0.966
AF-A0A3Q0KNG7-F1-model_v4,49.05,0.966
AF-A0A5K4FAT7-F1-model_v4,48.98,0.966
AF-G4LZ93-F1-model_v4,48.91,0.966
AF-A0A3Q0KL83-F1-model_v4,48.83,0.966
AF-A0A3Q0KSV0-F1-model_v4,48.79,0.965
AF-A0A5K4ES84-F1-model_v4,48.76,0.965
AF-A0A3Q0KL74-F1-model_v4,48.73,0.965
AF-G4VIY8-F1-model_v4,48.71,0.965
AF-A0A5K4F9E4-F1-model_v4,48.68,0.965
AF-A0A3Q0KBZ4-F1-model_v4,48.67,0.965
AF-G4LYD4-F1-model_v4,48.63,0.965
AF-G4LYK2-F1-model_v4,48.63,0.965
AF-A0A3Q0KNC2-F1-model_v4,48.6,0.965
AF-G4VH15-F1-model_v4,48.47,0.965
AF-A0A3Q0KFE2-F1-model_v4,48.46,0.965
